"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"933","CC BY 4.0","Afghanistan","112"
"934","CC BY 4.0","Albania","396"
"935","CC BY 4.0","Algeria","1680"
"936","CC BY 4.0","American Samoa","4"
"937","CC BY 4.0","Andorra","6"
"938","CC BY 4.0","Angola","313"
"939","CC BY 4.0","Anguilla","1"
"940","CC BY 4.0","Antarctica","5"
"941","CC BY 4.0","Antigua and Barbuda","4"
"942","CC BY 4.0","Argentina","55400"
"943","CC BY 4.0","Armenia","2490"
"944","CC BY 4.0","Aruba","40900"
"945","CC BY 4.0","Australia","191000"
"946","CC BY 4.0","Austria","26200"
"947","CC BY 4.0","Azerbaijan","4370"
"948","CC BY 4.0","Bahamas","5"
"949","CC BY 4.0","Bahrain","61"
"950","CC BY 4.0","Bangladesh","1280"
"951","CC BY 4.0","Barbados","7"
"952","CC BY 4.0","Belarus","137"
"953","CC BY 4.0","Belgium","75600"
"954","CC BY 4.0","Belize","7"
"955","CC BY 4.0","Benin","39"
"956","CC BY 4.0","Bermuda","2"
"957","CC BY 4.0","Bhutan","480"
"958","CC BY 4.0","Bolivia","1730"
"959","CC BY 4.0","Bosnia and Herzegovina","1770"
"960","CC BY 4.0","Botswana","117"
"961","CC BY 4.0","Bouvet Island","0"
"962","CC BY 4.0","Brazil","444000"
"963","CC BY 4.0","British Indian Ocean Territory","0"
"964","CC BY 4.0","Brunei Darussalam","264"
"965","CC BY 4.0","Bulgaria","7570"
"966","CC BY 4.0","Burkina Faso","81"
"967","CC BY 4.0","Burundi","7"
"968","CC BY 4.0","Cambodia","2100"
"969","CC BY 4.0","Cameroon","35"
"970","CC BY 4.0","Canada","204000"
"971","CC BY 4.0","Cape Verde","10"
"972","CC BY 4.0","Cayman Islands","3"
"973","CC BY 4.0","Central African Republic","0"
"974","CC BY 4.0","Chad","43"
"975","CC BY 4.0","Chile","12600"
"976","CC BY 4.0","China","64700"
"977","CC BY 4.0","Christmas Island","5"
"978","CC BY 4.0","Cocos (Keeling) Islands","0"
"979","CC BY 4.0","Colombia","52200"
"980","CC BY 4.0","Comoros","0"
"981","CC BY 4.0","Congo","28"
"982","CC BY 4.0","Congo, the Democratic Republic of the","1730"
"983","CC BY 4.0","Cook Islands","10"
"984","CC BY 4.0","Costa Rica","9590"
"985","CC BY 4.0","Cote D'ivoire","10"
"986","CC BY 4.0","Croatia (Hrvatska)","21300"
"987","CC BY 4.0","Cuba","6460"
"988","CC BY 4.0","Cyprus","5610"
"989","CC BY 4.0","Czech Republic","19400"
"990","CC BY 4.0","Denmark","54900"
"991","CC BY 4.0","Djibouti","3"
"992","CC BY 4.0","Dominica","0"
"993","CC BY 4.0","Dominican Republic","352"
"994","CC BY 4.0","East Timor","0"
"995","CC BY 4.0","Ecuador","21900"
"996","CC BY 4.0","Egypt","3030"
"997","CC BY 4.0","El Salvador","1140"
"998","CC BY 4.0","Equatorial Guinea","0"
"999","CC BY 4.0","Eritrea","2"
"1000","CC BY 4.0","Estonia","1820"
"1001","CC BY 4.0","Ethiopia","942"
"1002","CC BY 4.0","European Union","0"
"1003","CC BY 4.0","Falkland Islands (Malvinas)","2"
"1004","CC BY 4.0","Faroe Islands","139"
"1005","CC BY 4.0","Fiji","107"
"1006","CC BY 4.0","Finland","76900"
"1007","CC BY 4.0","France","252000"
"1008","CC BY 4.0","France, Metropolitan","0"
"1009","CC BY 4.0","French Guiana","0"
"1010","CC BY 4.0","French Polynesia","4"
"1011","CC BY 4.0","French Southern Territories","1"
"1012","CC BY 4.0","Gabon","0"
"1013","CC BY 4.0","Gambia","12"
"1014","CC BY 4.0","Georgia","409"
"1015","CC BY 4.0","Germany","8260000"
"1016","CC BY 4.0","Ghana","4830"
"1017","CC BY 4.0","Gibraltar","6"
"1018","CC BY 4.0","Greece","13500"
"1019","CC BY 4.0","Greenland","9"
"1020","CC BY 4.0","Grenada","22"
"1021","CC BY 4.0","Guadeloupe","0"
"1022","CC BY 4.0","Guam","0"
"1023","CC BY 4.0","Guatemala","505"
"1024","CC BY 4.0","Guinea","1"
"1025","CC BY 4.0","Guinea-Bissau","2"
"1026","CC BY 4.0","Guyana","9"
"1027","CC BY 4.0","Haiti","41"
"1028","CC BY 4.0","Heard Island and Mcdonald Islands","0"
"1029","CC BY 4.0","Holy See (Vatican City State)","34"
"1030","CC BY 4.0","Honduras","86"
"1031","CC BY 4.0","Hong Kong","75300"
"1032","CC BY 4.0","Hungary","30300"
"1033","CC BY 4.0","Iceland","4530"
"1034","CC BY 4.0","India","81100"
"1035","CC BY 4.0","Indonesia","169000"
"1036","CC BY 4.0","Iran, Islamic Republic of","75200"
"1037","CC BY 4.0","Iraq","6960"
"1038","CC BY 4.0","Ireland","113000"
"1039","CC BY 4.0","Israel","20000"
"1040","CC BY 4.0","Italy","478000"
"1041","CC BY 4.0","Jamaica","2580"
"1042","CC BY 4.0","Japan","101000"
"1043","CC BY 4.0","Jordan","622"
"1044","CC BY 4.0","Kazakhstan","1860"
"1045","CC BY 4.0","Kenya","2590"
"1046","CC BY 4.0","Kiribati","1"
"1047","CC BY 4.0","Korea, Democratic People's Republic of","0"
"1048","CC BY 4.0","Korea, Republic of","109000"
"1049","CC BY 4.0","Kuwait","25"
"1050","CC BY 4.0","Kyrgyzstan","80"
"1051","CC BY 4.0","Lao People's Democratic Republic","7"
"1052","CC BY 4.0","Latvia","1840"
"1053","CC BY 4.0","Lebanon","5780"
"1054","CC BY 4.0","Lesotho","32"
"1055","CC BY 4.0","Liberia","1"
"1056","CC BY 4.0","Libyan Arab Jamahiriya","692"
"1057","CC BY 4.0","Liechtenstein","52"
"1058","CC BY 4.0","Lithuania","16600"
"1059","CC BY 4.0","Luxembourg","6020"
"1060","CC BY 4.0","Macao","1070"
"1061","CC BY 4.0","Macedonia, the Former Yugosalv Republic of","806"
"1062","CC BY 4.0","Madagascar","6"
"1063","CC BY 4.0","Malawi","82"
"1064","CC BY 4.0","Malaysia","12600"
"1065","CC BY 4.0","Maldives","4300"
"1066","CC BY 4.0","Mali","7"
"1067","CC BY 4.0","Malta","965"
"1068","CC BY 4.0","Marshall Islands","0"
"1069","CC BY 4.0","Martinique","0"
"1070","CC BY 4.0","Mauritania","3"
"1071","CC BY 4.0","Mauritius","44"
"1072","CC BY 4.0","Mayotte","0"
"1073","CC BY 4.0","Mexico","55700"
"1074","CC BY 4.0","Micronesia, Federated States of","5"
"1075","CC BY 4.0","Moldova, Republic of","3880"
"1076","CC BY 4.0","Monaco","4"
"1077","CC BY 4.0","Mongolia","89"
"1078","CC BY 4.0","Montserrat","0"
"1079","CC BY 4.0","Morocco","723"
"1080","CC BY 4.0","Mozambique","203"
"1081","CC BY 4.0","Myanmar","44"
"1082","CC BY 4.0","Namibia","313"
"1083","CC BY 4.0","Nauru","3"
"1084","CC BY 4.0","Nepal","2440"
"1085","CC BY 4.0","Netherlands","176000"
"1086","CC BY 4.0","Netherlands Antilles","0"
"1087","CC BY 4.0","New Caledonia","22"
"1088","CC BY 4.0","New Zealand","28200"
"1089","CC BY 4.0","Nicaragua","12500"
"1090","CC BY 4.0","Niger","4"
"1091","CC BY 4.0","Nigeria","12600"
"1092","CC BY 4.0","Niue","3"
"1093","CC BY 4.0","Norfolk Island","2"
"1094","CC BY 4.0","Northern Mariana Islands","2"
"1095","CC BY 4.0","Norway","41600"
"1096","CC BY 4.0","Oman","593"
"1097","CC BY 4.0","Pakistan","6650"
"1098","CC BY 4.0","Palau","4"
"1099","CC BY 4.0","Palestinian Territory","120"
"1100","CC BY 4.0","Panama","2330"
"1101","CC BY 4.0","Papua New Guinea","23"
"1102","CC BY 4.0","Paraguay","2560"
"1103","CC BY 4.0","Peru","103000"
"1104","CC BY 4.0","Philippines","8020"
"1105","CC BY 4.0","Pitcairn","0"
"1106","CC BY 4.0","Poland","144000"
"1107","CC BY 4.0","Portugal","23400"
"1108","CC BY 4.0","Puerto Rico","205"
"1109","CC BY 4.0","Qatar","3970"
"1110","CC BY 4.0","Reunion","26"
"1111","CC BY 4.0","Romania","11000"
"1112","CC BY 4.0","Russian Federation","110000"
"1113","CC BY 4.0","Rwanda","5"
"1114","CC BY 4.0","Saint Helena","27"
"1115","CC BY 4.0","Saint Kitts and Nevis","2"
"1116","CC BY 4.0","Saint Lucia","235"
"1117","CC BY 4.0","Saint Pierre and Miquelon","85"
"1118","CC BY 4.0","Saint Vincent and the Grenadines","5"
"1119","CC BY 4.0","Samoa","81"
"1120","CC BY 4.0","San Marino","4"
"1121","CC BY 4.0","Sao Tome and Principe","23"
"1122","CC BY 4.0","Saudi Arabia","8300"
"1123","CC BY 4.0","Senegal","32"
"1124","CC BY 4.0","Serbia and Montenegro","388000000"
"1125","CC BY 4.0","Seychelles","12"
"1126","CC BY 4.0","Sierra Leone","91"
"1127","CC BY 4.0","Singapore","46900"
"1128","CC BY 4.0","Slovakia","4270"
"1129","CC BY 4.0","Slovenia","51400"
"1130","CC BY 4.0","Solomon Islands","5"
"1131","CC BY 4.0","Somalia","2620"
"1132","CC BY 4.0","South Africa","49200"
"1133","CC BY 4.0","South Georgia and the South Sandwich Islands","1"
"1134","CC BY 4.0","Spain","202000"
"1135","CC BY 4.0","Sri Lanka","766"
"1136","CC BY 4.0","Sudan","6"
"1137","CC BY 4.0","Suriname","4"
"1138","CC BY 4.0","Svalbard and Jan Mayen","0"
"1139","CC BY 4.0","Swaziland","7"
"1140","CC BY 4.0","Sweden","57500"
"1141","CC BY 4.0","Switzerland","145000"
"1142","CC BY 4.0","Syrian Arab Republic","512"
"1143","CC BY 4.0","Taiwan, Province of China","4270"
"1144","CC BY 4.0","Tajikistan","73"
"1145","CC BY 4.0","Tanzania, United Republic of","763"
"1146","CC BY 4.0","Thailand","6440"
"1147","CC BY 4.0","Togo","9"
"1148","CC BY 4.0","Tokelau","0"
"1149","CC BY 4.0","Tonga","506"
"1150","CC BY 4.0","Trinidad and Tobago","41"
"1151","CC BY 4.0","Tunisia","459"
"1152","CC BY 4.0","Turkey","60800"
"1153","CC BY 4.0","Turkmenistan","1"
"1154","CC BY 4.0","Turks and Caicos Islands","2"
"1155","CC BY 4.0","Tuvalu","3"
"1156","CC BY 4.0","Uganda","1330"
"1157","CC BY 4.0","Ukraine","28800"
"1158","CC BY 4.0","United Arab Emirates","2690"
"1159","CC BY 4.0","United Kingdom","2010000"
"1160","CC BY 4.0","United States","341000000"
"1161","CC BY 4.0","United States Minor Outlying Islands","0"
"1162","CC BY 4.0","Uruguay","2240"
"1163","CC BY 4.0","Uzbekistan","2390"
"1164","CC BY 4.0","Vanuatu","5"
"1165","CC BY 4.0","Venezuela","3020"
"1166","CC BY 4.0","Vietnam","8"
"1167","CC BY 4.0","Virgin Islands, British","931"
"1168","CC BY 4.0","Virgin Islands, U.S.","1080"
"1169","CC BY 4.0","Wallis and Futuna","3"
"1170","CC BY 4.0","Western Sahara","0"
"1171","CC BY 4.0","Yemen","10"
"1172","CC BY 4.0","Yugoslavia","0"
"1173","CC BY 4.0","Zambia","787"
"1174","CC BY 4.0","Zimbabwe","1490"
"1175","CC BY-NC 4.0","Afghanistan","39"
"1176","CC BY-NC 4.0","Albania","81"
"1177","CC BY-NC 4.0","Algeria","337"
"1178","CC BY-NC 4.0","American Samoa","0"
"1179","CC BY-NC 4.0","Andorra","4"
"1180","CC BY-NC 4.0","Angola","77"
"1181","CC BY-NC 4.0","Anguilla","0"
"1182","CC BY-NC 4.0","Antarctica","0"
"1183","CC BY-NC 4.0","Antigua and Barbuda","1"
"1184","CC BY-NC 4.0","Argentina","39100"
"1185","CC BY-NC 4.0","Armenia","135"
"1186","CC BY-NC 4.0","Aruba","40200"
"1187","CC BY-NC 4.0","Australia","60000"
"1188","CC BY-NC 4.0","Austria","6780"
"1189","CC BY-NC 4.0","Azerbaijan","63"
"1190","CC BY-NC 4.0","Bahamas","0"
"1191","CC BY-NC 4.0","Bahrain","10"
"1192","CC BY-NC 4.0","Bangladesh","119"
"1193","CC BY-NC 4.0","Barbados","3"
"1194","CC BY-NC 4.0","Belarus","34"
"1195","CC BY-NC 4.0","Belgium","16500"
"1196","CC BY-NC 4.0","Belize","4"
"1197","CC BY-NC 4.0","Benin","6"
"1198","CC BY-NC 4.0","Bermuda","1"
